title,link,organization,rating,skills,difficulty,duration
Microsoft Excel,https://www.coursera.org/professional-certificates/microsoft-excel-skills,Microsoft,4.2,"Excel Macros, Prompt Engineering, Microsoft Excel, Data Cleansing, Excel Formulas, Pivot Tables And Charts, Microsoft Copilot, Dashboard, Forecasting, Data Presentation, Data Storytelling, Data Processing, Data Visualization Software, Data Manipulation, Data Visualization, Predictive Modeling, Data Quality, Statistical Analysis, Data Transformation, Data Analysis",Beginner,3 - 6 Months
IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science,IBM,4.6,"Dashboard, Data Visualization Software, Data Visualization, SQL, Predictive Modeling, Unsupervised Learning, Plotly, Interactive Data Visualization, Supervised Learning, Exploratory Data Analysis, Feature Engineering, Jupyter, Data Wrangling, Data Literacy, Data Analysis, Data Mining, Matplotlib, Generative AI, Pandas (Python Package), Professional Networking",Beginner,3 - 6 Months
Unilever Supply Chain Data Analyst,https://www.coursera.org/professional-certificates/unilever-supply-chain-data-analyst,Unilever,4.7,"Data Governance, Descriptive Analytics, Data Storytelling, Supply Chain, Supply Chain Management, Demand Planning, Presentations, Data Visualization, Supply Chain Systems, Supply Chain Planning, Process Improvement, Data Management, Data Lakes, Predictive Analytics, Transportation, Supply Chain, and Logistics, Forecasting, Data Analysis, Data Analysis Software, Real Time Data, Problem Solving",Beginner,3 - 6 Months
Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python,IBM,4.7,"Predictive Modeling, Exploratory Data Analysis, Data Wrangling, Data Analysis, Data Import/Export, Pandas (Python Package), Statistical Modeling, Data-Driven Decision-Making, Data Manipulation, Scikit Learn (Machine Learning Library), Regression Analysis, Feature Engineering, Matplotlib, Python Programming, Data Cleansing, NumPy, Data Visualization, Descriptive Statistics, Supervised Learning, Data Pipelines",Intermediate,1 - 3 Months
Microsoft Data Visualization,https://www.coursera.org/professional-certificates/microsoft-data-visualization,Microsoft,4.7,"Data Storytelling, Data Analysis Expressions (DAX), Data Presentation, Power BI, Data Ethics, Dashboard, Data Modeling, Data Governance, Extract, Transform, Load, Data Visualization, Interactive Data Visualization, Business Intelligence, Data Visualization Software, Data Analysis, Statistical Analysis, Correlation Analysis, Data Architecture, Data Cleansing, Data Transformation, Database Design",Beginner,3 - 6 Months
IBM Back-end JavaScript Developer,https://www.coursera.org/professional-certificates/backend-javascript-developer,IBM,4.6,"Istio, Node.JS, Containerization, Software Development Life Cycle, Software Architecture, Kubernetes, Server Side, MongoDB, Application Deployment, Cloud-Native Computing, NoSQL, Restful API, OpenShift, Git (Version Control System), Cloud Applications, Cascading Style Sheets (CSS), Ajax, Javascript, Azure DevOps, Engineering Software",Beginner,3 - 6 Months
Meta Back-End Developer,https://www.coursera.org/professional-certificates/meta-back-end-developer,Meta,4.6,"Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Python Programming, Computer Programming, Cloud Hosting",Beginner,3 - 6 Months
Meta Full-Stack Developer,https://www.coursera.org/specializations/meta-full-stack-developer,Meta,4.7,"Jest (JavaScript Testing Framework), Django (Web Framework), Version Control, Restful API, Responsive Web Design, Unix Commands, HTML and CSS, Git (Version Control System), GitHub, Relational Databases, Object Oriented Programming (OOP), Database Management Systems, Bootstrap (Front-End Framework), React.js, Mobile Development, SQL, Database Design, API Design, Linux Commands, Python Programming",Beginner,3 - 6 Months
IBM Back-End Development,https://www.coursera.org/professional-certificates/ibm-backend-development,IBM,4.6,"Istio, Open Web Application Security Project (OWASP), Software Development Life Cycle, Software Architecture, Linux Commands, Kubernetes, Application Deployment, NoSQL, Bash (Scripting Language), MongoDB, Shell Script, Django (Web Framework), Object-Relational Mapping, Cloud-Native Computing, Git (Version Control System), Flask (Web Framework), Jupyter, Grafana, Microservices, Python Programming",Beginner,3 - 6 Months
IBM Full-Stack JavaScript Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,IBM,4.6,"Istio, Node.JS, Software Development Life Cycle, Software Architecture, Kubernetes, Server Side, MongoDB, Application Deployment, CI/CD, Cloud-Native Computing, React Redux, NoSQL, Restful API, OpenShift, Git (Version Control System), Cascading Style Sheets (CSS), Ajax, Javascript, Azure DevOps, Engineering Software",Beginner,3 - 6 Months
IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,IBM,4.6,"Prompt Engineering, Istio, Node.JS, Software Development Life Cycle, Software Architecture, Kubernetes, Cloud Computing Architecture, Server Side, Application Deployment, React Redux, Cloud Services, Django (Web Framework), Object-Relational Mapping, Git (Version Control System), Flask (Web Framework), Full-Stack Web Development, Cascading Style Sheets (CSS), Cloud Computing, Jupyter, Engineering Software",Beginner,3 - 6 Months
Developing Back-End Apps with Node.js and Express,https://www.coursera.org/learn/developing-backend-apps-with-nodejs-and-express,IBM,4.5,"Node.JS, Server Side, Restful API, Back-End Web Development, JavaScript Frameworks, Cloud Applications, Web Applications, Web Development, Application Programming Interface (API), Web Servers, Javascript, Authentications, Package and Software Management, JSON, Middleware, Computer Science",Intermediate,1 - 4 Weeks
IBM Java Developer,https://www.coursera.org/professional-certificates/java-developer,IBM,4.6,"Prompt Engineering, Cloud-Native Computing, Software Development Life Cycle, Software Architecture, Hibernate (Java), Database Design, Docker (Software), Containerization, Git (Version Control System), GitHub, Cascading Style Sheets (CSS), Microservices, Object Oriented Programming (OOP), Large Language Modeling, Restful API, Java Programming, Engineering Software, Version Control, Database Management, Software Design",Beginner,3 - 6 Months
Microsoft Back-End Developer,https://www.coursera.org/professional-certificates/microsoft-back-end-developer,Microsoft,4.6,"CI/CD, C# (Programming Language), Load Balancing, Continuous Integration, Role-Based Access Control (RBAC), Scalability, Object Oriented Programming (OOP), Authentications, ASP.NET, Debugging, SQL, Application Deployment, Microsoft Copilot, .NET Framework, Relational Databases, Database Management, Graph Theory, Back-End Web Development, Program Development, Data Structures",Beginner,3 - 6 Months
Developing Front-End Apps with React,https://www.coursera.org/learn/developing-frontend-apps-with-react,IBM,4.4,"React Redux, React.js, Front-End Web Development, JavaScript Frameworks, UI Components, Full-Stack Web Development, Web Applications, Web Development, Javascript, Event-Driven Programming, Cascading Style Sheets (CSS), Data Structures",Intermediate,1 - 4 Weeks
Introduction to Front-End Development,https://www.coursera.org/learn/introduction-to-front-end-development,Meta,4.8,"HTML and CSS, Bootstrap (Front-End Framework), Responsive Web Design, Front-End Web Development, User Interface (UI), JavaScript Frameworks, Web Design and Development, Web Applications, Web Development Tools, React.js, Javascript",Beginner,1 - 4 Weeks
Microsoft Full-Stack Developer,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,Microsoft,4.5,"CI/CD, GitHub, C# (Programming Language), HTML and CSS, Load Balancing, Continuous Integration, Git (Version Control System), Role-Based Access Control (RBAC), Scalability, Object Oriented Programming (OOP), Authentications, ASP.NET, Full-Stack Web Development, Web Development, Debugging, SQL, Application Deployment, Microsoft Copilot, .NET Framework, Graph Theory",Beginner,3 - 6 Months
Introduction to Software Engineering,https://www.coursera.org/learn/introduction-to-software-engineering,IBM,4.7,"Software Development Life Cycle, Software Architecture, Software Design, Scrum (Software Development), Software Engineering, Software Design Patterns, Agile Methodology, Software Development, Programming Principles, Application Development, Cloud Development, Web Development, Back-End Web Development, Front-End Web Development, Computer Programming, Integrated Development Environments, Python Programming",Beginner,1 - 3 Months
Software Testing and Automation,https://www.coursera.org/specializations/software-testing-automation,University of Minnesota,4.3,"Open Web Application Security Project (OWASP), Cucumber (Software), Software Testing, Selenium (Software), Gherkin (Scripting Language), JUnit, Verification And Validation, Test Automation, Unit Testing, Security Testing, Regression Testing, Test Case, Testability, Behavior-Driven Development, Code Coverage, Performance Testing, Development Testing, Test Planning, Acceptance Testing, Software Quality Assurance",Intermediate,3 - 6 Months
Python Scripting Masterclass: From Basics to Real Projects,https://www.coursera.org/specializations/python-scripting-masterclass-from-basics-to-real-projects,EDUCBA,5.0,"Debugging, Integrated Development Environments, Data Validation, Web Applications, Scripting, Development Environment, Object Oriented Programming (OOP), Django (Web Framework), Software Testing, Web Development, Development Testing, Customer Data Management, Data Structures, Program Development, Scripting Languages, Model View Controller, Business Logic, Financial Data, Python Programming, Command-Line Interface",Intermediate,1 - 3 Months
QA Process Optimization: Agile & Automated Testing,https://www.coursera.org/learn/qa-process-optimization-agile-automated-testing,Coursera Instructor Network,,"Software Quality Assurance, Quality Assurance, Test Automation, Test Tools, Acceptance Testing, Agile Software Development, Test Case, Software Testing, Continuous Integration, User Acceptance Testing (UAT), Agile Methodology, User Story, Automation, Analysis, Collaboration",Intermediate,1 - 4 Weeks
Foundations of Software Testing and Validation,https://www.coursera.org/learn/foundations-of-software-testing-and-validation,University of Leeds,4.6,"Test Case, Software Testing, Software Quality Assurance, Quality Assurance, User Acceptance Testing (UAT), Test Planning, Verification And Validation, Acceptance Testing, System Testing, Unit Testing, Functional Testing, Usability Testing, Integration Testing, Performance Testing, Software Development Life Cycle, Software Development",Beginner,1 - 4 Weeks
Introduction to Software Testing,https://www.coursera.org/learn/introduction-software-testing,University of Minnesota,4.4,"Software Testing, JUnit, Verification And Validation, Unit Testing, Test Case, Test Automation, Development Testing, Test Planning, Code Coverage, Software Quality Assurance, Functional Testing, Testability, Integration Testing, Test Data, Issue Tracking",Intermediate,1 - 4 Weeks
Generative AI for Software Development,https://www.coursera.org/professional-certificates/generative-ai-for-software-development,DeepLearning.AI,4.6,"Prompt Engineering, Large Language Modeling, Database Design, Software Documentation, Software Design Patterns, Database Systems, Collaborative Software, Software Testing, ChatGPT, Technical Documentation, Generative AI, Code Review, Software Architecture, API Design, System Design and Implementation, Dependency Analysis, Artificial Intelligence, Software Engineering, Software Development, Machine Learning",Beginner,1 - 3 Months
Go and C++:  Programming in Two Successor Languages of C,https://www.coursera.org/specializations/go-and-c-plus-plus,"University of California, Santa Cruz",4.4,"C++ (Programming Language), Go (Programming Language), Data Structures, Object Oriented Programming (OOP), Software Design Patterns, Debugging, Object Oriented Design, Programming Principles, Unit Testing, Algorithms, C (Programming Language), Computer Programming, Integrated Development Environments, Graph Theory, Software Testing, Computer Science, File Management, Artificial Intelligence, Integration Testing, Game Design",Intermediate,3 - 6 Months
Data Structures and Algorithms,https://www.coursera.org/specializations/data-structures-algorithms,University of California San Diego,4.6,"Data Structures, Graph Theory, Algorithms, Network Routing, Program Development, Network Model, Bioinformatics, Operations Research, Data Storage, Development Testing, Test Engineering, Theoretical Computer Science, Computational Thinking, Network Analysis, Test Case, Programming Principles, Computer Programming, Epidemiology, Software Testing, Debugging",Intermediate,3 - 6 Months
"C, Go, and C++: A Comprehensive Introduction to Programming",https://www.coursera.org/specializations/c-go-c-plus-plus,"University of California, Santa Cruz",4.5,"C++ (Programming Language), Go (Programming Language), Debugging, C (Programming Language), Data Structures, Object Oriented Programming (OOP), Software Design Patterns, Object Oriented Design, Programming Principles, Computer Programming, Unit Testing, Command-Line Interface, Integrated Development Environments, Algorithms, Graph Theory, Software Testing, Program Development, Computer Science, Computational Thinking, File Management",Intermediate,3 - 6 Months
Jmeter training for Beginners,https://www.coursera.org/learn/jmeter-training-for-beginners,Simplilearn,,"Performance Testing, Application Programming Interface (API), Test Tools, Software Testing, Application Performance Management, Test Planning, System Testing, Scripting, User Acceptance Testing (UAT), Simulations, Scalability",Beginner,1 - 4 Weeks
Selenium Python Automation Testing and Frameworks,https://www.coursera.org/specializations/packt-selenium-python-automation-testing-from-scratch-and-frameworks,Packt,4.6,"Automation, Web Scraping, Other Programming Languages, Hypertext Markup Language (HTML), File Management, Development Environment, Debugging, Software Design Patterns",Beginner,3 - 6 Months
C and Go: Classical and Modern Programming,https://www.coursera.org/specializations/c-and-go,"University of California, Santa Cruz",4.5,"Go (Programming Language), Debugging, C (Programming Language), Data Structures, C++ (Programming Language), Object Oriented Design, Object Oriented Programming (OOP), Programming Principles, Computer Programming, Unit Testing, Command-Line Interface, Integrated Development Environments, Computer Science, Software Testing, Algorithms, Program Development, Computational Thinking, File Management, Integration Testing, File Systems",Intermediate,3 - 6 Months
ISTQB Foundation Level Software Testing  Certification Prep,https://www.coursera.org/specializations/istqb-ctfl-prep,Board Infinity,4.4,"Test Tools, Test Planning, Configuration Management, Software Testing, Test Automation, Test Case, Integration Testing, Code Review, Software Technical Review, Software Quality Assurance, Software Development Life Cycle, System Testing, Acceptance Testing, Quality Assurance, Maintainability, Regression Testing, Unit Testing, Test Data, Functional Testing, User Acceptance Testing (UAT)",Beginner,1 - 3 Months
"Open-Source QA: Cypress, JMeter & xUnit Testing",https://www.coursera.org/learn/open-source-qa-cypress-jmeter--xunit-testing,Coursera Instructor Network,,"JUnit, Test Automation, Unit Testing, Software Testing, Continuous Integration, Performance Testing, Selenium (Software), Quality Assurance, Integration Testing, Test Case, IT Automation, CI/CD, Scripting, Application Performance Management, Debugging, Java, Network Performance Management",Intermediate,1 - 4 Weeks
Meta iOS UI Development,https://www.coursera.org/specializations/meta-ios-ui-development,Meta,4.6,"iOS Development, Apple iOS, Apple Xcode, User Interface (UI), Mobile Development, Swift Programming, Unit Testing, User Interface (UI) Design, UI Components, Mobile Development Tools, Objective-C (Programming Language), Application Development, Data Structures, Programming Principles, Development Testing, Software Testing, Object Oriented Programming (OOP), Software Design Patterns, Integrated Development Environments, Prototyping",Beginner,3 - 6 Months
Learn Automation Testing with Java and Selenium Webdriver,https://www.coursera.org/specializations/packt-learn-automation-testing-with-java-and-selenium-webdriver,Packt,4.6,"Selenium (Software), Object Oriented Programming (OOP), Eclipse (Software), Java, Java Programming, JUnit, HTML and CSS, Test Automation, Software Testing, Integrated Development Environments, Test Data, Browser Compatibility, Computer Programming, Web Development, Programming Principles, Test Case, Software Design, Development Environment, Continuous Integration, Automation",Beginner,3 - 6 Months
Lean Six Sigma,https://www.coursera.org/specializations/lean-six-sigma,Tecnológico de Monterrey,4.8,"Lean Six Sigma, Process Capability, Process Analysis, Process Mapping, Six Sigma Methodology, Lean Methodologies, Lean Manufacturing, Statistical Process Controls, Process Improvement, Quality Improvement, Process Optimization, Operational Analysis, Business Process, Quality Control, Statistical Analysis, Continuous Improvement Process, Value Engineering, Analysis, Predictive Modeling, Production Process",Intermediate,3 - 6 Months
Introduction to Cosmetic Science and Ingredients,https://www.coursera.org/specializations/introduction-to-cosmetic-science,Olay,4.7,"Laboratory Experience, Quality Control, Product Development, Packaging and Labeling, Quality Assurance, Laboratory Equipment, Prototyping, Product Quality (QA/QC), New Product Development, Statistical Process Controls, Product Design, Good Manufacturing Practices, Laboratory Testing, Quality Management, Quality Management Systems, Product Testing, Chemistry, Safety Training, Personal Care, Safety Assurance",Beginner,3 - 6 Months
Meta Social Media Marketing,https://www.coursera.org/professional-certificates/facebook-social-media-marketing,Meta,4.8,"Paid media, Social Media Marketing, Social Media Management, Social Media, Marketing Analytics, Target Audience, Marketing Budgets, Social Media Strategy, Social Media Campaigns, Instagram, Content Creation, Campaign Management, Marketing Effectiveness, Online Advertising, Marketing, Performance Analysis, Key Performance Indicators (KPIs), Presentations, Brand Management, Digital Marketing",Beginner,3 - 6 Months
Social Media Marketing,https://www.coursera.org/specializations/social-media-marketing,Northwestern University,4.6,"Marketing Budgets, Blogs, Social Media Marketing, Integrated Marketing Communications, Social Media, Peer Review, Social Media Management, Key Performance Indicators (KPIs), Social Media Strategy, Real Time Data, Marketing Effectiveness, Content Marketing, Strategic Marketing, Marketing Strategies, Target Audience, Social Media Campaigns, Budgeting, Analytics, Digital Marketing, ChatGPT",Beginner,3 - 6 Months
Introduction to Social Media Marketing,https://www.coursera.org/learn/social-media-marketing-introduction,Meta,4.8,"Social Media Marketing, Social Media, Target Audience, Social Media Strategy, Social Media Management, Marketing, Key Performance Indicators (KPIs), Goal Setting, Facebook, Customer Analysis, Marketing Strategies, Marketing Channel, Instagram, Digital Marketing",Beginner,1 - 3 Months
Social Media Management,https://www.coursera.org/learn/social-media-management,Meta,4.8,"Social Media Management, Social Media Marketing, Content Creation, Social Media Strategy, Social Media Campaigns, Content Marketing, Instagram, Content Management, Content Performance Analysis, Brand Management, Facebook, Branding, Customer Engagement",Beginner,1 - 4 Weeks
Social Media Marketing in Practice,https://www.coursera.org/specializations/social-media-marketing-practice,Digital Marketing Institute,4.5,"Social Media Marketing, Social Media, Social Media Strategy, Social Media Management, Digital Media Strategy, Facebook, Content Marketing, Instagram, LinkedIn, Digital Marketing, Social Media Campaigns, Marketing, Target Audience, Marketing Strategies, Online Advertising, Advertising Campaigns, Digital Content, Digital Advertising, Brand Awareness, B2B Sales",Beginner,3 - 6 Months
Shopify eCommerce: Social Media Ads for Sales Success,https://www.coursera.org/specializations/socialselling-leveragingsocialmediaforsalessuccesswithshopifyecommerce,Skillshare,,"Advertising Campaigns, Campaign Management, Copywriting, Facebook, Social Media Campaigns, Persona Development, Content Performance Analysis, Target Audience, Scalability, Online Advertising, Digital Advertising, Performance Metric, Google Ads, Customer Analysis, Advertising, Instagram, Marketing Materials, Paid media, Sales Process, Customer Insights",Beginner,3 - 6 Months
Social Media Content and Strategy,https://www.coursera.org/learn/social-media-content-and-strategy,Adobe,4.8,"Social Media Content, Social Media, Content Creation, Social Media Strategy, Social Media Marketing, Content Performance Analysis, Social Media Management, Intellectual Property, Target Audience, Drive Engagement, Customer Engagement, Content Strategy, Ethical Standards And Conduct, Regulation and Legal Compliance, Multimedia, Scheduling, Video Production, Branding, Generative AI Agents",Beginner,1 - 4 Weeks
Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,Google,4.8,"Data Storytelling, Search Engine Marketing, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Search Engine Optimization, Order Fulfillment, Social Media Management, Performance Measurement, Spreadsheet Software, A/B Testing, Customer Retention, E-Commerce, Campaign Management, Loyalty Programs, Marketing, Interviewing Skills, Applicant Tracking Systems",Beginner,3 - 6 Months
Social Media Analytics,https://www.coursera.org/specializations/social-media-analytics,Johns Hopkins University,4.2,"Network Analysis, Data Visualization, Social Media, Graph Theory, Relational Databases, Social Media Marketing, Data Visualization Software, Data Storytelling, Data Analysis, Exploratory Data Analysis, Data Literacy, Social Sciences, Statistical Analysis, Machine Learning, R Programming, Sociology, Natural Language Processing, Data Manipulation, Text Mining, Analytics",Intermediate,3 - 6 Months
Strategic Sales Leadership,https://www.coursera.org/specializations/strategic-sales-leadership,Starweaver,,"Business Writing, Data Storytelling, Concision, Storytelling, Data Presentation, Sales Presentation, Customer Relationship Management (CRM) Software, Sales Strategy, Writing, Persuasive Communication, Business Communication, Business Leadership, Sales Enablement, ChatGPT, Business Transformation, Digital Transformation, Generative AI, Communication, Proposal Writing, Communication Strategies",Intermediate,1 - 4 Weeks
Search Engine Optimization (SEO),https://www.coursera.org/specializations/seo,"University of California, Davis",4.6,"Keyword Research, Search Engine Optimization, Web Analytics and SEO, Content Creation, Social Media Strategy, Target Audience, Client Services, Social Media, Content Strategy, Social Media Marketing, Competitive Analysis, Consumer Behaviour, Google Analytics, Forecasting, Content Development and Management, Digital Marketing, Expectation Management, User Research, Content Marketing, Marketing",Beginner,3 - 6 Months
Adobe Content Creator,https://www.coursera.org/professional-certificates/adobe-content-creator,Adobe,4.7,"Content Creation, Typography, Logo Design, Digital Design, Web Content, Generative AI, Social Media, Graphic Design, Social Media Management, User Interface and User Experience (UI/UX) Design, Creative Design, Intellectual Property, Adobe Photoshop, Visual Design, Content Marketing, Infographics, Content Strategy, Storytelling, Color Theory, Branding",Beginner,3 - 6 Months
Instagram Optimization: Grow Your Presence,https://www.coursera.org/learn/instagram-optimization-grow-your-presence,Coursera,,"Instagram, Content Performance Analysis, Social Media Management, Social Media, Social Media Marketing, Brand Marketing, Social Media Strategy, Drive Engagement, Content Strategy, Customer Engagement, Marketing Analytics, Content Creation, Performance Metric, Analytics",Beginner,1 - 4 Weeks
Marketing con Redes Sociales,https://www.coursera.org/specializations/marketing-redes-sociales,Tecnológico de Monterrey,4.5,"Social Media Strategy, Goal Setting, Social Media, Social Media Marketing, Target Audience, Social Media Campaigns, Content Marketing, Business Marketing, Digital Media Strategy, Performance Measurement, Marketing, Marketing Strategies, Active Listening, Social Media Management, Key Performance Indicators (KPIs), Social Media Content, Drive Engagement, Content Strategy, Facebook, Strategic Communication",Intermediate,3 - 6 Months
Introduction to Public Relations and the Media,https://www.coursera.org/specializations/introduction-to-public-relations-and-the-media,University of Colorado Boulder,4.6,"Press Releases, Strategic Communication, Media Relations, Public Relations, Marketing and Public Relations, Media and Communications, Crisis Management, Marketing Communications, Corporate Communications, Communication Strategies, Corporate Sustainability, Brand Strategy, Brand Management, Storytelling, Branding, Business Ethics, Social Media, Persuasive Communication, Professional Networking, Writing",Beginner,3 - 6 Months
Microsoft Public Relations and Communications Associate,https://www.coursera.org/professional-certificates/microsoft-public-relations,Microsoft,4.7,"Media Relations, Marketing and Public Relations, Editing, Content Development and Management, Stakeholder Communications, Stakeholder Management, Public Relations, Internal Communications, Integrated Marketing Communications, Crisis Management, Communication Planning, Stakeholder Engagement, Content Creation, Target Audience, Marketing Communications, Corporate Communications, Writing and Editing, Content Management, Generative AI, Proofreading",Beginner,3 - 6 Months
Introduction to Public Relations,https://www.coursera.org/learn/introduction-to-public-relations,Microsoft,4.7,"Media Relations, Public Relations, Target Audience, Communication Planning, Marketing and Public Relations, Strategic Communication, Generative AI Agents, Corporate Communications, Performance Metric, Program Evaluation, Generative AI, Content Creation, Crisis Management, Ethical Standards And Conduct",Beginner,1 - 3 Months
Good with Words: Speaking and Presenting,https://www.coursera.org/specializations/good-with-words-speaking-and-presenting,University of Michigan,4.6,"Tactfulness, Public Speaking, Storytelling, Verbal Communication Skills, Persuasive Communication, Non-Verbal Communication, Communication, Cognitive flexibility, Communication Strategies, Presentations, Ingenuity, Interpersonal Communications, Rapport Building, Constructive Feedback, Empathy, Social Skills, Professionalism, Active Listening, Optimism, Creativity",Beginner,3 - 6 Months
Principles of Public Relations,https://www.coursera.org/learn/principles-of-public-relations,University of Colorado Boulder,4.7,"Strategic Communication, Public Relations, Marketing and Public Relations, Corporate Communications, Media Relations, Communication Strategies, Corporate Sustainability, Brand Management, Business Ethics, Persuasive Communication, Branding, Professional Networking, Research, Stakeholder Engagement",Beginner,1 - 3 Months
Strategic Public Relations Planning,https://www.coursera.org/learn/strategic-public-relations-planning,Starweaver,4.9,"Target Audience, Public Relations, Strategic Communication, Corporate Communications, Crisis Management, Marketing and Public Relations, Media Relations, Persuasive Communication, Marketing Effectiveness, Marketing Budgets, Persona Development, Campaign Management, Social Media, Stakeholder Management, Content Strategy, Business Technologies, Technology Strategies, Teamwork, Generative AI Agents, Ethical Standards And Conduct",Beginner,1 - 4 Weeks
Dynamic Public Speaking,https://www.coursera.org/specializations/public-speaking,University of Washington,4.7,"Public Speaking, Persuasive Communication, Presentations, Verbal Communication Skills, Microsoft PowerPoint, Oral Expression, Communication, Storytelling, Motivational Skills, Constructive Feedback, Performing Arts, Concision, Drive Engagement, Communication Strategies, Target Audience, Writing, Non-Verbal Communication, Problem Solving, Composure, Instructional Design",Beginner,3 - 6 Months
GenAI for PR Specialists,https://www.coursera.org/learn/genai-for-pr-specialists,Coursera Instructor Network,4.0,"Generative AI Agents, Public Relations, Content Creation, Marketing and Public Relations, Corporate Communications, Media Relations, Productivity Software, Crisis Management, Team Leadership, Data Ethics, Promotions and Campaigns, Social Media Campaigns",Intermediate,1 - 4 Weeks
